CHROMOSOME	START_POS	END_POS	STRAND	GENE	OVERLAP
chr1	160708846	160724608	+	SLAMF7	N
chr1	160765863	160798045	+	LY9	N
chr1	160799949	160832692	-	CD244	N
chr1	160846329	160854960	-	ITLN1	N
chr1	160902254	160919712	+	LOC101928372	Y
chr1	160914815	160924589	-	ITLN2	Y
chr1	160965000	160991133	-	F11R	N
chr1	161007421	161008774	-	TSTD1	N
chr1	161009040	161015769	-	USF1	N
chr1	161016731	161039760	-	ARHGAP30	N
chr1	161040780	161059385	-	NECTIN4	N
chr1	161068150	161070138	+	KLHDC9	N
chr1	161070345	161087866	-	PFDN2	Y
chr1	161087861	161095235	+	NIT1	Y
chr1	161090768	161102478	-	DEDD	Y
chr1	161123533	161128646	+	UFC1	N
chr1	161129253	161135516	+	USP21	N
chr1	161136180	161141010	+	PPOX	N
chr1	161141099	161147758	-	B4GALT3	N
chr1	161159518	161168843	-	ADAMTS4	N
chr1	161169104	161184184	+	NDUFS2	N
chr1	161185086	161189038	+	FCER1G	N
chr1	161192082	161193418	-	APOA2	N
chr1	161195728	161200536	+	TOMM40L	Y
chr1	161196975	161197051	+	MIR5187	Y
chr1	161199455	161208000	-	NR1I3	Y
chr1	161228516	161255240	+	PCP4L1	N
chr1	161274524	161279762	-	MPZ	N
chr1	161284165	161334535	+	SDHC	Y
chr1	161334520	161337673	-	CFAP126	Y
chr1	161475204	161489360	+	FCGR2A	N
chr1	161494329	161496687	+	HSPA6	N
chr1	161511550	161520413	-	FCGR3A	N
chr1	161551128	161571010	+	FCGR2C	N
chr1	161575848	161578341	+	HSPA7	N
chr1	161592987	161601753	-	FCGR3B	N
chr1	161632904	161648444	+	FCGR2B	N
chr1	161653494	161655042	-	RPL31P11	N
chr1	161676761	161684142	+	FCRLA	N
chr1	161691333	161697933	+	FCRLB	N
chr1	161719557	161726954	+	DUSP12	N
chr1	161736033	161933860	+	ATF6	N
chr1	161952981	161994255	-	OLFML2B	N
chr1	162039580	162339813	+	NOS1AP	Y
chr1	162126896	162126972	+	MIR4654	Y
chr1	162312335	162312430	+	MIR556	Y
chr1	162343514	162346644	-	C1orf111	N
chr1	162348695	162356608	+	C1orf226	N
chr1	162365055	162381928	-	SH2D1B	N
chr1	162466963	162499419	+	UHMK1	N
chr1	162531229	162569633	+	UAP1	N
chr1	162602227	162750247	+	DDR2	N
chr1	162760491	162782608	+	HSD17B7	N
chr1	162824086	162838605	-	CCDC190	N
chr1	163038395	163046592	+	RGS4	N
chr1	163112088	163291581	-	RGS5	Y
chr1	163131464	163182813	+	LOC101928404	Y
chr1	163291722	163325553	+	NUF2	N
chr1	163390859	163392981	-	LOC100422212	N
chr1	164528596	164821060	+	PBX1	Y
chr1	164738352	164743878	-	LOC100505795	Y
chr1	165171103	165325952	-	LMX1A	N
chr1	165370158	165414592	-	RXRG	N
chr1	165446078	165551392	-	LOC400794	Y
chr1	165513477	165533185	+	LRRC52	Y
chr1	165600109	165625372	+	MGST3	N
chr1	165631448	165667900	-	ALDH9A1	N
chr1	165667986	165679199	+	LOC440700	N
chr1	165693527	165738159	-	TMCO1	N
chr1	165738165	165744685	+	LOC100147773	N
chr1	165796731	165880855	+	UCK2	Y
chr1	165877157	165877213	+	MIR3658	Y
chr1	166025154	166135992	-	FAM78B	Y
chr1	166123979	166124035	-	MIR921	Y
chr1	166573152	166594473	+	FMO9P	N
chr1	166808640	166825581	+	POGK	N
chr1	166825748	166845654	-	TADA1	N
chr1	166882440	166944561	-	ILDR2	N
chr1	166944818	166991449	+	MAEL	N
chr1	167022072	167059868	-	GPA33	N
chr1	167064086	167098402	+	DUSP27	N
chr1	167144598	167165042	-	LINC01363	N
chr1	167190065	167396582	+	POU2F1	N
chr1	167399876	167487847	-	CD247	N
chr1	167510250	167523056	-	CREG1	N
chr1	167599429	167677933	+	RCSD1	N
chr1	167691186	167761156	+	MPZL1	N
chr1	167778624	167883464	-	ADCY10	N
chr1	167885912	167906307	-	MPC2	Y
chr1	167905796	168045083	+	DCAF6	Y
chr1	167967897	167967964	+	MIR1255B2	Y
chr1	168048779	168106905	-	GPR161	N
chr1	168148082	168171351	+	TIPRL	N
chr1	168195254	168212088	+	SFT2D2	N
chr1	168214818	168216668	-	ANKRD36BP1	N
chr1	168250277	168283664	+	TBX19	N
chr1	168344761	168344859	+	MIR557	N
chr1	168369426	168391894	-	LOC100505918	N
chr1	168433351	168464882	-	LOC101928565	N
chr1	168510002	168513235	-	XCL2	N
chr1	168545710	168551315	+	XCL1	N
chr1	168664694	168698442	-	DPT	N
chr1	168756178	168762126	+	LINC00626	N
chr1	168873142	169056243	-	LINC00970	N
chr1	169073361	169074144	+	LOC101928596	N
chr1	169075946	169101960	+	ATP1B1	Y
chr1	169101767	169337201	-	NME7	Y
chr1	169337116	169365780	+	BLZF1	Y
chr1	169364107	169429907	-	CCDC181	Y
chr1	169433148	169455208	-	SLC19A2	N
chr1	169481191	169555769	-	F5	N
chr1	169558087	169599377	-	SELP	N
chr1	169659805	169680843	-	SELL	N
chr1	169691780	169703220	-	SELE	N
chr1	169761669	169764117	-	METTL18	Y
chr1	169763870	169822230	+	C1orf112	Y
chr1	169822214	169863100	-	SCYL3	Y
chr1	169890469	170043879	-	KIFAP3	N
chr1	170115187	170136923	+	METTL11B	Y
chr1	170120518	170120603	-	MIR3119-1	Y
chr1	170120518	170120603	+	MIR3119-2	Y
chr1	170240545	170253349	-	LINC01142	N
chr1	170430457	170501750	-	LOC101928650	Y
chr1	170501262	170522974	+	GORAB	Y
chr1	170633312	170708541	+	PRRX1	N
chr1	170904611	171033906	+	MROH9	N
chr1	171060017	171086959	+	FMO3	Y
chr1	171070868	171070947	-	MIR1295A	Y
chr1	171070879	171070939	+	MIR1295B	Y
chr1	171106878	171130702	+	FMO6P	N
chr1	171154346	171181822	+	FMO2	N
chr1	171217609	171255117	+	FMO1	N
chr1	171283321	171311223	+	FMO4	Y
chr1	171308034	171310463	+	TOP1P1	Y
chr1	171454665	171562650	+	PRRC2C	N
chr1	171604556	171621773	-	MYOC	N
chr1	171669295	171711379	-	VAMP4	N
chr1	171750760	171766856	+	METTL13	N
chr1	171810617	172381857	+	DNM3	Y
chr1	171833331	171833827	+	DNM3-IT1	Y
chr1	172106018	172113975	-	DNM3OS	Y
chr1	172107937	172108047	-	MIR214	Y
chr1	172107947	172108028	+	MIR3120	Y
chr1	172113674	172113784	-	MIR199A2	Y
chr1	172389827	172437969	+	C1orf105	Y
chr1	172410596	172413230	-	PIGC	Y
chr1	172501488	172580975	+	SUCO	N
chr1	172628147	172636012	+	FASLG	N
chr1	173010359	173020103	-	TNFSF18	N
chr1	173152869	173176452	-	TNFSF4	N
chr1	173204198	173446294	-	LOC100506023	Y
chr1	173386927	173430501	-	LOC101928673	Y
chr1	173446485	173457946	+	PRDX6	N
chr1	173469603	173572233	-	SLC9C2	N
chr1	173577474	173639001	-	ANKRD45	Y
chr1	173604660	173606272	+	LOC730159	Y
chr1	173684079	173755840	+	KLHL20	N
chr1	173768687	173793777	-	CENPL	N
chr1	173793796	173827682	+	DARS2	N
chr1	173832385	173833079	+	GAS5-AS1	Y
chr1	173833038	173837125	-	GAS5	Y
chr1	173833312	173833355	-	SNORD81	Y
chr1	173833506	173833583	-	SNORD47	Y
chr1	173833970	173834041	-	SNORD80	Y
chr1	173834487	173834568	-	SNORD79	Y
chr1	173834770	173834824	-	SNORD78	Y
chr1	173835105	173835166	-	SNORD44	Y
chr1	173835342	173835428	-	SNORA103	Y
chr1	173835448	173835509	-	SNORD77	Y
chr1	173835772	173835853	-	SNORD76	Y
chr1	173836016	173836076	-	SNORD75	Y
chr1	173836811	173836883	-	SNORD74	Y
chr1	173837492	173855774	+	ZBTB37	N
chr1	173872941	173886516	-	SERPINC1	N
chr1	173900221	173962210	-	RC3H1	N
chr1	174090775	174128425	-	LOC102724601	N
chr1	174128551	174964445	+	RABGAP1L	Y
chr1	174417211	174418683	+	GPR52	Y
chr1	174904083	174923398	-	LOC101928696	Y
chr1	174968570	174981163	+	CACYBP	N
chr1	174982093	174992591	-	MRPS14	N
chr1	175036993	175117202	+	TNN	N
chr1	175126122	175162229	-	KIAA0040	N
chr1	175291934	175712752	-	TNR	N
chr1	175846478	175849600	+	LOC101928751	N
chr1	175913961	176176380	-	RFWD2	Y
chr1	175937532	175937676	-	SCARNA3	Y
chr1	176432306	176811970	+	PAPPA2	N
chr1	176826440	177134040	-	ASTN1	Y
chr1	176998498	176998581	-	MIR488	Y
chr1	177140523	177251558	+	BRINP2	N
chr1	177320721	177335594	+	LOC102724661	N
chr1	177669658	177679465	+	LOC101928778	N
chr1	177898241	177939050	-	SEC16B	N
chr1	177975274	178007142	-	LOC730102	N
chr1	178060642	178063128	-	RASAL2-AS1	Y
chr1	178062863	178448648	+	RASAL2	Y
chr1	178482211	178492635	+	TEX35	N
chr1	178511930	178518024	+	C1orf220	N
chr1	178646883	178646969	+	MIR4424	N
chr1	178694281	178890977	+	RALGPS2	Y
chr1	178818669	178840215	-	ANGPTL1	Y
chr1	178994938	179045709	+	FAM20B	N
chr1	179051111	179065129	+	TOR3A	N
chr1	179068461	179198819	-	ABL2	N
chr1	179262848	179327814	+	SOAT1	N
chr1	179334854	179523870	+	AXDND1	Y
chr1	179519673	179545087	-	NPHS2	Y
chr1	179560747	179660407	+	TDRD5	N
chr1	179712297	179785333	+	FAM163A	N
chr1	179809101	179846941	-	TOR1AIP2	N
chr1	179851176	179889212	+	TOR1AIP1	N
chr1	179923907	180084015	+	CEP350	N
chr1	180123967	180167169	+	QSOX1	Y
chr1	180167143	180169859	+	FLJ23867	Y
chr1	180199432	180244188	+	LHX4	Y
chr1	180238797	180243816	-	LHX4-AS1	Y
chr1	180257351	180472022	-	ACBD6	Y
chr1	180407448	180407525	-	MIR3121	Y
chr1	180528109	180535654	+	OVAAL	N
chr1	180601145	180859415	+	XPR1	N
chr1	180882312	180915239	+	KIAA1614	N
chr1	180941849	180992257	-	STX6	N
chr1	181002560	181031074	+	MR1	N
chr1	181057637	181059979	+	IER5	N
chr1	181143619	181151342	+	LOC101928973	N
chr1	181205523	181207740	+	GM140	N
chr1	181452685	181775921	+	CACNA1E	N
chr1	182023704	182030847	-	ZNF648	N
chr1	182173079	182283196	-	LINC01344	N
chr1	182347227	182361341	-	GLUL	N
chr1	182367251	182369751	-	TEDDM1	N
chr1	182376755	182383948	+	LINC00272	N
chr1	182419255	182529732	+	RGSL1	N
chr1	182542768	182558394	-	RNASEL	N
chr1	182567757	182573548	-	RGS16	N
chr1	182584274	182585764	+	LOC284648	N
chr1	182610948	182642067	-	RGS8	N
chr1	182758583	182799519	+	NPL	N
chr1	182808438	182857117	+	DHX9	N
chr1	182868999	182922553	-	SHCBP1L	N
chr1	182992594	183114727	+	LAMC1	N
chr1	183155173	183214262	+	LAMC2	N
chr1	183217371	183387634	-	NMNAT2	N
chr1	183430010	183441117	-	SMG7-AS1	N
chr1	183441505	183523328	+	SMG7	N
chr1	183524696	183560056	-	NCF2	N
chr1	183595327	183605076	-	ARPC5	N
chr1	183605181	183897685	+	RGL1	Y
chr1	183615410	183622448	-	APOBEC4	Y
chr1	183898795	184006904	-	COLGALT2	N
chr1	184020784	184043344	+	TSEN15	N
chr1	184356149	184598155	+	C1orf21	N
chr1	184659624	184724041	-	EDEM3	N
chr1	184760158	184943718	-	FAM129A	N
chr1	185014550	185071740	+	RNF2	N
chr1	185087217	185126230	-	TRMT1L	Y
chr1	185126191	185260913	+	SWT1	Y
chr1	185265521	185286461	-	IVNS1ABP	N
chr1	185292978	185304171	-	GS1-279B7.1	N
chr1	185527511	185597620	-	LINC01350	N
chr1	185703682	186160085	+	HMCN1	N
chr1	186265404	186283694	+	PRG4	Y
chr1	186280785	186344457	-	TPR	Y
chr1	186344889	186390503	+	C1orf27	Y
chr1	186369703	186370587	+	OCLM	Y
chr1	186404292	186439423	+	LOC102724919	Y
chr1	186412697	186430240	-	PDC	Y
chr1	186640943	186649559	-	PTGS2	N
chr1	186649785	186650578	+	PACERR	N
chr1	186798031	186958113	+	PLA2G4A	N
chr1	187061973	187329376	+	LINC01036	N
chr1	187412759	187446354	+	LINC01037	N
chr1	190066796	190447012	-	BRINP3	N
chr1	190447389	190450524	+	LINC01351	N
chr1	190594019	190770788	+	LOC440704	N
chr1	192127591	192154945	+	RGS18	N
chr1	192286121	192336414	+	RGS21	N
chr1	192544856	192549159	+	RGS1	N
chr1	192605267	192629440	+	RGS13	N
chr1	192685457	192685520	+	MIR4426	N
chr1	192778168	192781407	+	RGS2	N
chr1	192904873	192917387	-	LINC01032	N
chr1	192981495	193029237	-	UCHL5	Y
chr1	193026410	193026545	-	SCARNA18B	Y
chr1	193028551	193060906	+	TROVE2	Y
chr1	193065594	193075244	-	GLRX2	N
chr1	193091087	193223942	+	CDC73	Y
chr1	193105632	193105713	+	MIR1278	Y
chr1	193147859	193155743	-	B3GALT2	Y
chr1	193273874	193335083	+	LINC01031	N
chr1	196194909	196577561	-	KCNT2	Y
chr1	196551542	196551611	-	MIR4735	Y
chr1	196621007	196716634	+	CFH	N
chr1	196743929	196763203	+	CFHR3	N
chr1	196788860	196801319	+	CFHR1	N
chr1	196857143	196887843	+	CFHR4	N
chr1	196912897	196928356	+	CFHR2	N
chr1	196946666	196978803	+	CFHR5	N
chr1	197008320	197036397	-	F13B	N
chr1	197053256	197115824	-	ASPM	N
chr1	197122811	197169672	-	ZBTB41	N
chr1	197170591	197447585	+	CRB1	N
chr1	197473878	197744623	-	DENND1B	N
chr1	197871681	197876497	+	C1orf53	N
chr1	197881634	197899273	+	LHX9	N
chr1	198126107	198291548	+	NEK7	N
chr1	198492351	198510075	-	ATP6V1G3	N
chr1	198608097	198726605	+	PTPRC	N
chr1	198777131	198906558	-	MIR181A1HG	Y
chr1	198828001	198828111	-	MIR181B1	Y
chr1	198828172	198828282	-	MIR181A1	Y
chr1	198961717	198988093	-	LINC01222	Y
chr1	198985261	199045864	+	LINC01221	Y
chr1	199996729	200146550	+	NR5A2	N
chr1	200311671	200342920	-	LINC00862	N
chr1	200374074	200379186	-	ZNF281	N
chr1	200520624	200589862	-	KIF14	N
chr1	200609934	200639126	-	DDX59	Y
chr1	200638634	200663378	+	LOC101929224	Y
chr1	200708685	200829835	+	CAMSAP2	N
chr1	200842082	200843306	+	GPR25	N
chr1	200860626	200884864	+	C1orf106	N
chr1	200938513	200992828	-	KIF21B	N
chr1	201008639	201081694	-	CACNA1S	N
chr1	201083080	201084500	-	ASCL5	N
chr1	201103898	201140710	-	TMEM9	N
chr1	201159952	201198080	+	IGFN1	N
chr1	201252579	201302121	+	PKP1	N
chr1	201328135	201346828	-	TNNT2	N
chr1	201349965	201368669	-	LAD1	N
chr1	201372894	201390874	-	TNNI1	N
chr1	201433411	201438299	-	PHLDA3	N
chr1	201452657	201476387	-	CSRP1	N
chr1	201489031	201489720	+	RPS10P7	N
chr1	201617449	201796102	+	NAV1	Y
chr1	201657383	201798687	-	IPO9-AS1	Y
chr1	201688635	201688755	+	MIR5191	Y
chr1	201777738	201777830	+	MIR1231	Y
chr1	201798287	201853422	+	IPO9	Y
chr1	201832500	201832575	+	MIR6739	Y
chr1	201857796	201861715	+	SHISA4	N
chr1	201865583	201915716	-	LMOD1	N
chr1	201924618	201939789	+	TIMM17A	N
chr1	201951765	201975275	+	RNPEP	Y
chr1	201972251	201972364	+	MIR6740	Y
chr1	201979689	201986315	+	ELF3	N
chr1	202092028	202098634	+	GPR37L1	N
chr1	202102531	202113871	-	ARL8A	N
chr1	202116140	202130716	-	PTPN7	N
chr1	202137178	202158577	+	PTPRVP	N
chr1	202163117	202288889	+	LGR6	N
chr1	202300784	202311094	-	UBE2T	N
chr1	202317829	202557697	+	PPP1R12B	N
chr1	202559724	202679551	-	SYT2	N
chr1	202694312	202778598	-	KDM5B	N
chr1	202780073	202781041	+	PCAT6	N
chr1	202789384	202796341	+	MGAT4EP	N
chr1	202830881	202844369	+	LOC148709	N
chr1	202847409	202858385	-	RABIF	N
chr1	202860223	202897772	-	KLHL12	N
chr1	202909952	202927700	-	ADIPOR1	N
chr1	202931000	202936404	-	CYB5R1	N
chr1	202955579	202976393	-	LOC100506747	N
chr1	202976494	202993976	+	TMEM183A	Y
chr1	202976535	202992668	+	TMEM183B	Y
chr1	202995648	203047864	+	PPFIA4	N
chr1	203052256	203055166	-	MYOG	N
chr1	203096835	203136533	+	ADORA1	N
chr1	203136938	203144942	-	MYBPH	N
chr1	203148058	203155922	-	CHI3L1	N
chr1	203185206	203198860	-	CHIT1	N
chr1	203256279	203257924	+	LINC01353	N
chr1	203267885	203274453	-	LINC01136	N
chr1	203274663	203278729	+	BTG2	N
chr1	203309748	203320557	-	FMOD	N
chr1	203444882	203460479	+	PRELP	N
chr1	203463270	203478077	+	OPTC	N
chr1	203595914	203713209	+	ATP2B4	Y
chr1	203698708	203698833	+	SNORA77	Y
chr1	203699704	203700979	+	LINC00260	Y
chr1	203734283	203745480	+	LAX1	N
chr1	203764664	203823256	+	ZC3H11A	Y
chr1	203766650	203769590	+	ZBED6	Y
chr1	203830712	203840280	+	SNRPE	N
chr1	204001574	204010392	-	LINC00303	N
chr1	204042245	204096871	+	SOX13	N
chr1	204100188	204121310	-	ETNK2	Y
chr1	204110535	204112137	+	LOC101929441	Y
chr1	204123943	204135465	-	REN	N
chr1	204159468	204165619	-	KISS1	N
chr1	204167287	204183220	-	GOLT1A	N
chr1	204187978	204329057	-	PLEKHA6	N
chr1	204337557	204338847	-	LINC00628	N
chr1	204372491	204380945	-	PPP1R15B	N
chr1	204391757	204459474	-	PIK3C2B	N
chr1	204485506	204527248	+	MDM4	N
chr1	204586302	204654597	-	LRRN2	N
chr1	204797781	204991950	+	NFASC	N
chr1	205012339	205047171	+	CNTN2	N
chr1	205052256	205053588	-	TMEM81	N
chr1	205055269	205091150	-	RBBP5	N
chr1	205111630	205180727	-	DSTYK	N
chr1	205197037	205242471	+	TMCC2	N
chr1	205271190	205290919	-	NUAK2	N
chr1	205305192	205326218	-	KLHDC8A	N
chr1	205342379	205356568	+	LEMD1-AS1	Y
chr1	205350505	205391214	-	LEMD1	Y
chr1	205404013	205425214	-	BLACAT1	Y
chr1	205417429	205417526	-	MIR135B	Y
chr1	205473683	205501921	+	CDK18	N
chr1	205523400	205525763	-	LOC284578	N
chr1	205538111	205572046	+	MFSD4A	N
chr1	205577070	205602000	-	ELK4	N
chr1	205626980	205649630	-	SLC45A3	N
chr1	205681946	205719372	-	NUCKS1	N
chr1	205737113	205744610	-	RAB29	N
chr1	205758220	205782324	-	SLC41A1	N
chr1	205797149	205819276	-	PM20D1	N
chr1	205831206	205865215	+	LOC284581	N
chr1	205882176	205912588	-	SLC26A9	N
chr1	206137264	206155151	+	FAM72A	Y
chr1	206138439	206155074	+	FAM72C	Y
chr1	206224282	206231482	+	AVPR1B	N
chr1	206238871	206288647	-	C1orf186	N
chr1	206317458	206332104	+	CTSE	N
chr1	206516199	206581301	+	SRGAP2C	Y
chr1	206516199	206637783	+	SRGAP2	Y
chr1	206643585	206670223	+	IKBKE	Y
chr1	206648145	206648207	+	MIR6769B	Y
chr1	206680862	206762616	+	RASSF5	N
chr1	206764973	206785904	-	EIF2D	N
chr1	206808880	206822542	+	DYRK3	N
chr1	206858364	206907630	+	MAPKAPK2	N
chr1	206940947	206945839	-	IL10	N
chr1	206972214	207016326	+	IL19	N
chr1	207039153	207042568	+	IL20	N
chr1	207070787	207077484	+	IL24	Y
chr1	207076630	207095378	-	FCMR	Y
chr1	207101866	207119811	-	PIGR	N
chr1	207131311	207143970	-	FCAMR	N
chr1	207191865	207206101	-	C1orf116	N
chr1	207217193	207226325	-	YOD1	N
chr1	207226619	207254368	+	PFKFB2	N
chr1	207262186	207273337	+	C4BPB	N
chr1	207277606	207318317	+	C4BPA	N
chr1	207494816	207534311	+	CD55	N
chr1	207627644	207663240	+	CR2	N
chr1	207669472	207815110	+	CR1	N
chr1	207818457	207897036	+	CR1L	N
chr1	207925382	207968861	+	CD46	N
chr1	207974862	207996048	-	C1orf132	Y
chr1	207975196	207975284	-	MIR29C	Y
chr1	207975787	207975868	-	MIR29B2	Y
chr1	207991723	207995941	+	LOC148696	Y
chr1	208059882	208084683	-	CD34	N
chr1	208195587	208417665	-	PLXNA2	N
chr1	209498800	209501877	+	LOC105372897	N
chr1	209602167	209605892	+	MIR205HG	Y
chr1	209605477	209605587	+	MIR205	Y
chr1	209757044	209787284	+	CAMK1G	N
chr1	209788217	209825820	-	LAMB3	Y
chr1	209796788	209796855	-	MIR4260	Y
chr1	209834703	209915907	-	LOC101930114	Y
chr1	209848669	209849735	+	G0S2	Y
chr1	209859524	209908295	+	HSD11B1	Y
chr1	209929376	209955668	+	TRAF3IP3	Y
chr1	209952552	209958075	-	C1orf74	Y
chr1	209958967	209979520	-	IRF6	N
chr1	210001311	210030910	+	DIEXF	N
chr1	210111518	210337633	+	SYT14	N
chr1	210404803	210407466	-	SERTAD4-AS1	Y
chr1	210406194	210416440	+	SERTAD4	Y
chr1	210501595	210849638	+	HHAT	N
chr1	210851656	211307457	-	KCNH1	N
chr1	211432707	211489725	+	RCOR3	N
chr1	211499956	211548286	+	TRAF5	N
chr1	211556096	211605877	+	LINC00467	N
chr1	211649863	211666259	-	RD3	N
chr1	211748380	211752099	-	SLC30A1	N
chr1	211813149	211827963	+	LOC105748977	N
chr1	211831598	211848972	-	NEK2	N
chr1	211916798	212004114	-	LPGAT1	Y
chr1	212002978	212027045	+	LOC102723727	Y
chr1	212113740	212209002	-	INTS7	Y
chr1	212208894	212278348	+	DTL	Y
chr1	212250954	212251027	+	MIR3122	Y
chr1	212386343	212458363	-	LOC101929541	N
chr1	212458878	212535205	+	PPP2R5A	Y
chr1	212526159	212526292	+	SNORA16B	Y
chr1	212537815	212588267	-	TMEM206	N
chr1	212606228	212619721	+	NENF	N
chr1	212719035	212729408	+	LOC101929565	N
chr1	212738675	212794119	+	ATF3	N
chr1	212797788	212800120	+	FAM71A	N
chr1	212859758	212873327	-	BATF3	N
chr1	212899494	212965139	-	NSL1	N
chr1	212965169	212990167	+	TATDN3	N
chr1	213003484	213020991	-	SPATA45	N
chr1	213029945	213031480	-	FLVCR1-AS1	N
chr1	213031596	213072705	+	FLVCR1	N
chr1	213123861	213164927	+	VASH2	N
chr1	213165523	213189217	-	ANGEL2	N
chr1	213224574	213446808	+	RPS6KC1	N
chr1	213992983	214159496	-	PROX1-AS1	Y
chr1	214098091	214099996	+	LINC00538	Y
chr1	214161277	214214847	+	PROX1	N
chr1	214454564	214510477	+	SMYD2	N
chr1	214522038	214725024	-	PTPN14	N
chr1	214776531	214837914	+	CENPF	N
chr1	215178884	215410436	+	KCNK2	N
chr1	215740721	215795163	+	KCTD3	N
chr1	215796235	216596738	-	USH2A	Y
chr1	216245806	216260259	+	LOC102723833	Y
chr1	216676587	217311097	-	ESRRG	N
chr1	217600334	217804444	-	GPATCH2	N
chr1	217804665	218041495	+	SPATA17	Y
chr1	217954539	217958462	-	SPATA17-AS1	Y
chr1	218066241	218094146	+	LINC00210	N
chr1	218216846	218232482	+	LOC101929631	N
chr1	218458628	218511325	+	RRP15	N
chr1	218517537	218519020	-	TGFB2-AS1	Y
chr1	218518675	218617961	+	TGFB2	Y
chr1	218610974	219281452	+	MIR548F3	Y
chr1	218615967	218617337	+	TGFB2-OT1	Y
chr1	219254316	219347130	-	LYPLAL1-AS1	Y
chr1	219347172	219386207	+	LYPLAL1	N
chr1	219608499	219730666	-	LOC102723886	N
chr1	220046618	220292777	+	RNU5F-1	Y
chr1	220087605	220101993	-	SLC30A10	Y
chr1	220141941	220220000	-	EPRS	Y
chr1	220230823	220263195	-	BPNT1	Y
chr1	220267454	220321383	+	IARS2	Y
chr1	220291194	220291304	-	MIR215	Y
chr1	220291498	220291583	-	MIR194-1	Y
chr1	220321609	220445843	-	RAB3GAP2	Y
chr1	220373883	220373961	-	MIR664A	Y
chr1	220373887	220374018	-	SNORA36B	Y
chr1	220439520	220441057	-	AURKAPS1	Y
chr1	220701524	220837799	+	MARK1	N
chr1	220863627	220872499	+	C1orf115	N
chr1	220921587	220958157	+	MARC2	N
chr1	220960038	220987741	+	MARC1	N
chr1	221002596	221005770	+	LINC01352	N
chr1	221006104	221053482	-	HLX-AS1	Y
chr1	221052742	221058400	+	HLX	Y
chr1	221503269	221509638	-	C1orf140	N
chr1	221874761	221915518	-	DUSP10	N
chr1	222001007	222014008	-	LOC101929771	N
chr1	222695601	222721444	-	HHIPL2	N
chr1	222731243	222763275	-	TAF1A	Y
chr1	222763261	222765975	+	TAF1A-AS1	Y
chr1	222791443	222841354	+	MIA3	Y
chr1	222841354	222885864	-	AIDA	Y
chr1	222885894	222908538	+	BROX	N
chr1	222910557	222924147	+	FAM177B	N
chr1	222988430	223179337	+	DISP1	N
chr1	223282747	223316624	-	TLR5	N
chr1	223394160	223537544	-	SUSD4	N
chr1	223566714	223568812	+	CCDC185	N
chr1	223714971	223853436	-	CAPN8	N
chr1	223889294	223963720	+	CAPN2	N
chr1	223967594	224033674	-	TP53BP2	N
chr1	224138967	224180346	-	GTF2IP20	N
chr1	224180431	224221561	+	LOC100287497	N
chr1	224301788	224349749	+	FBXO28	N
chr1	224370909	224381142	+	DEGS1	N
chr1	224396449	224400981	-	LOC101927143	N
chr1	224407314	224415745	+	LOC101927164	Y
chr1	224415035	224517891	-	NVL	Y
chr1	224444705	224444843	-	MIR320B2	Y
chr1	224544512	224567153	+	CNIH4	N
chr1	224572844	224622001	-	WDR26	Y
chr1	224585928	224586013	-	MIR4742	Y
chr1	224622341	224928251	+	CNIH3	N
chr1	225117355	225586996	+	DNAH14	N
chr1	225589203	225616557	-	LBR	N
chr1	225674533	225840845	-	ENAH	N
chr1	225965514	225978168	+	SRP9	N
chr1	225997775	226033262	+	EPHX1	Y
chr1	226033232	226070420	-	TMEM63A	Y
chr1	226073981	226076846	-	LEFTY1	N
chr1	226107576	226112040	-	PYCR2	Y
chr1	226109779	226109842	-	MIR6741	Y
chr1	226124297	226129083	-	LEFTY2	N
chr1	226170402	226187066	-	SDE2	N
chr1	226250407	226259703	+	H3F3A	Y
chr1	226250427	226259703	+	H3F3AP4	Y
chr1	226332379	226374423	-	ACBD3	N
chr1	226411318	226414756	+	MIXL1	N
chr1	226418849	226497449	-	LIN9	N
chr1	226548391	226595801	-	PARP1	N
chr1	226736500	226796915	+	STUM	N
chr1	226819390	226926876	-	ITPKB	Y
chr1	226843780	226862769	-	ITPKB-IT1	Y
chr1	227058272	227083804	+	PSEN2	N
chr1	227127937	227175246	+	ADCK3	N
chr1	227177565	227505826	-	CDC42BPA	N
chr1	227751219	227865144	+	ZNF678	N
chr1	227884732	227885408	-	ZNF847P	N
chr1	227915868	227968932	+	SNAP47	Y
chr1	227918889	227923112	-	JMJD4	Y
chr1	228003417	228034171	+	PRSS38	N
chr1	228109164	228135676	-	WNT9A	Y
chr1	228129290	228129384	-	MIR5008	Y
chr1	228194722	228248972	+	WNT3A	N
chr1	228270360	228286913	+	ARF1	Y
chr1	228284963	228285042	+	MIR3620	Y
chr1	228288427	228291163	-	C1orf35	N
chr1	228294379	228297013	-	MRPL55	N
chr1	228327784	228336655	+	GUK1	N
chr1	228337414	228347527	+	GJC2	N
chr1	228351786	228353213	-	IBA57-AS1	N
chr1	228353508	228369958	+	IBA57	N
chr1	228391206	228401365	-	C1orf145	Y
chr1	228395830	228566575	+	OBSCN	Y
chr1	228581376	228594517	-	TRIM11	Y
chr1	228584748	228584810	-	MIR6742	Y
chr1	228595635	228604583	-	TRIM17	N
chr1	228612545	228613026	-	HIST3H3	N
chr1	228645064	228645560	-	HIST3H2A	N
chr1	228645807	228646259	+	HIST3H2BB	N
